0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/explore1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/explore3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/bed-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/explore2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/testimonial1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/special.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/testimonial3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/testimonial2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/down-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/header-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/home/video-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/vendors/fontawesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/vendors/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/vendors/themify-icons/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:55:53 +0900] "GET /miniProject/img/favicon.png HTTP/1.1" 200 181986
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/index.html HTTP/1.1" 200 28475
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/fontawesome/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/magnefic-popup/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/owl-carousel/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/linericon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/nice-select/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/jquery/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/magnefic-popup/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/bootstrap/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/superfish.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:58:40 +0900] "GET /miniProject/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 304 -
